#bfield(Gauss)	a12	a13	a23(a0)
1715	-2309.7	-2174.9	-2251.1
1716	-2309.3	-2174.8	-2250.9
1717	-2309.0	-2174.7	-2250.6
1718	-2308.6	-2174.5	-2250.3
1719	-2308.2	-2174.4	-2250.1
1720	-2307.8	-2174.3	-2249.8
1721	-2307.5	-2174.2	-2249.6
1722	-2307.1	-2174.1	-2249.3
1723	-2306.7	-2174.0	-2249.0
1724	-2306.3	-2173.9	-2248.8
1725	-2306.0	-2173.8	-2248.5
1726	-2305.6	-2173.7	-2248.3
1727	-2305.2	-2173.6	-2248.0
1728	-2304.9	-2173.4	-2247.7
1729	-2304.5	-2173.3	-2247.5
1730	-2304.2	-2173.2	-2247.2
1731	-2303.8	-2173.1	-2247.0
1732	-2303.4	-2173.0	-2246.7
1733	-2303.1	-2172.9	-2246.5
1734	-2302.7	-2172.8	-2246.2
1735	-2302.4	-2172.7	-2246.0
1736	-2302.0	-2172.6	-2245.7
1737	-2301.6	-2172.5	-2245.4
1738	-2301.3	-2172.4	-2245.2
1739	-2300.9	-2172.3	-2244.9
1740	-2300.6	-2172.2	-2244.7
1741	-2300.2	-2172.1	-2244.5
1742	-2299.9	-2172.0	-2244.2
1743	-2299.5	-2171.9	-2244.0
1744	-2299.2	-2171.7	-2243.7
1745	-2298.8	-2171.6	-2243.5
1746	-2298.5	-2171.5	-2243.2
1747	-2298.1	-2171.4	-2243.0
1748	-2297.8	-2171.3	-2242.7
1749	-2297.4	-2171.2	-2242.5
1750	-2297.1	-2171.1	-2242.2
1751	-2296.8	-2171.0	-2242.0
1752	-2296.4	-2170.9	-2241.8
1753	-2296.1	-2170.8	-2241.5
1754	-2295.7	-2170.7	-2241.3
1755	-2295.4	-2170.6	-2241.0
1756	-2295.1	-2170.5	-2240.8
1757	-2294.7	-2170.4	-2240.6
1758	-2294.4	-2170.3	-2240.3
1759	-2294.0	-2170.2	-2240.1
1760	-2293.7	-2170.1	-2239.9
1761	-2293.4	-2170.0	-2239.6
1762	-2293.0	-2169.9	-2239.4
1763	-2292.7	-2169.8	-2239.1
1764	-2292.4	-2169.7	-2238.9
1765	-2292.1	-2169.6	-2238.7
1766	-2291.7	-2169.5	-2238.4
1767	-2291.4	-2169.4	-2238.2
1768	-2291.1	-2169.3	-2238.0
1769	-2290.7	-2169.2	-2237.8
1770	-2290.4	-2169.1	-2237.5
1771	-2290.1	-2169.0	-2237.3
1772	-2289.8	-2168.9	-2237.1
1773	-2289.4	-2168.8	-2236.8
1774	-2289.1	-2168.7	-2236.6
1775	-2288.8	-2168.6	-2236.4
1776	-2288.5	-2168.5	-2236.2
1777	-2288.2	-2168.4	-2235.9
1778	-2287.8	-2168.4	-2235.7
1779	-2287.5	-2168.3	-2235.5
1780	-2287.2	-2168.2	-2235.3
1781	-2286.9	-2168.1	-2235.0
1782	-2286.6	-2168.0	-2234.8
1783	-2286.2	-2167.9	-2234.6
1784	-2285.9	-2167.8	-2234.4
1785	-2285.6	-2167.7	-2234.1
1786	-2285.3	-2167.6	-2233.9
1787	-2285.0	-2167.5	-2233.7
1788	-2284.7	-2167.4	-2233.5
1789	-2284.4	-2167.3	-2233.3
1790	-2284.1	-2167.2	-2233.0
1791	-2283.8	-2167.1	-2232.8
1792	-2283.4	-2167.0	-2232.6
1793	-2283.1	-2166.9	-2232.4
1794	-2282.8	-2166.8	-2232.2
1795	-2282.5	-2166.8	-2232.0
1796	-2282.2	-2166.7	-2231.7
1797	-2281.9	-2166.6	-2231.5
1798	-2281.6	-2166.5	-2231.3
1799	-2281.3	-2166.4	-2231.1
1800	-2281.0	-2166.3	-2230.9
1801	-2280.7	-2166.2	-2230.7
1802	-2280.4	-2166.1	-2230.5
1803	-2280.1	-2166.0	-2230.3
1804	-2279.8	-2165.9	-2230.0
1805	-2279.5	-2165.8	-2229.8
1806	-2279.2	-2165.8	-2229.6
1807	-2278.9	-2165.7	-2229.4
1808	-2278.6	-2165.6	-2229.2
1809	-2278.3	-2165.5	-2229.0
1810	-2278.0	-2165.4	-2228.8
1811	-2277.7	-2165.3	-2228.6
1812	-2277.4	-2165.2	-2228.4
1813	-2277.2	-2165.1	-2228.2
1814	-2276.9	-2165.0	-2228.0
1815	-2276.6	-2165.0	-2227.8
1816	-2276.3	-2164.9	-2227.6
1817	-2276.0	-2164.8	-2227.3
1818	-2275.7	-2164.7	-2227.1
1819	-2275.4	-2164.6	-2226.9
1820	-2275.1	-2164.5	-2226.7
1821	-2274.8	-2164.4	-2226.5
1822	-2274.6	-2164.4	-2226.3
1823	-2274.3	-2164.3	-2226.1
1824	-2274.0	-2164.2	-2225.9
1825	-2273.7	-2164.1	-2225.7
1826	-2273.4	-2164.0	-2225.5
1827	-2273.1	-2163.9	-2225.3
1828	-2272.9	-2163.8	-2225.1
1829	-2272.6	-2163.8	-2224.9
1830	-2272.3	-2163.7	-2224.7
1831	-2272.0	-2163.6	-2224.5
1832	-2271.7	-2163.5	-2224.3
1833	-2271.5	-2163.4	-2224.2
1834	-2271.2	-2163.3	-2224.0
1835	-2270.9	-2163.2	-2223.8
1836	-2270.6	-2163.2	-2223.6
1837	-2270.4	-2163.1	-2223.4
1838	-2270.1	-2163.0	-2223.2
1839	-2269.8	-2162.9	-2223.0
1840	-2269.5	-2162.8	-2222.8
1841	-2269.3	-2162.7	-2222.6
1842	-2269.0	-2162.7	-2222.4
1843	-2268.7	-2162.6	-2222.2
1844	-2268.5	-2162.5	-2222.0
1845	-2268.2	-2162.4	-2221.8
1846	-2267.9	-2162.3	-2221.6
1847	-2267.6	-2162.3	-2221.5
1848	-2267.4	-2162.2	-2221.3
1849	-2267.1	-2162.1	-2221.1
1850	-2266.8	-2162.0	-2220.9
1851	-2266.6	-2161.9	-2220.7
1852	-2266.3	-2161.9	-2220.5
1853	-2266.0	-2161.8	-2220.3
1854	-2265.8	-2161.7	-2220.1
1855	-2265.5	-2161.6	-2220.0
1856	-2265.3	-2161.5	-2219.8
1857	-2265.0	-2161.4	-2219.6
1858	-2264.7	-2161.4	-2219.4
1859	-2264.5	-2161.3	-2219.2
1860	-2264.2	-2161.2	-2219.0
1861	-2264.0	-2161.1	-2218.9
1862	-2263.7	-2161.1	-2218.7
1863	-2263.4	-2161.0	-2218.5
1864	-2263.2	-2160.9	-2218.3
1865	-2262.9	-2160.8	-2218.1
1866	-2262.7	-2160.7	-2217.9
1867	-2262.4	-2160.7	-2217.8
1868	-2262.2	-2160.6	-2217.6
1869	-2261.9	-2160.5	-2217.4
1870	-2261.6	-2160.4	-2217.2
1871	-2261.4	-2160.4	-2217.0
1872	-2261.1	-2160.3	-2216.9
1873	-2260.9	-2160.2	-2216.7
1874	-2260.6	-2160.1	-2216.5
1875	-2260.4	-2160.0	-2216.3
1876	-2260.1	-2160.0	-2216.2
1877	-2259.9	-2159.9	-2216.0
1878	-2259.6	-2159.8	-2215.8
1879	-2259.4	-2159.7	-2215.6
1880	-2259.1	-2159.7	-2215.5
1881	-2258.9	-2159.6	-2215.3
1882	-2258.6	-2159.5	-2215.1
1883	-2258.4	-2159.4	-2214.9
1884	-2258.2	-2159.4	-2214.8
1885	-2257.9	-2159.3	-2214.6
1886	-2257.7	-2159.2	-2214.4
1887	-2257.4	-2159.1	-2214.2
1888	-2257.2	-2159.1	-2214.1
1889	-2256.9	-2159.0	-2213.9
1890	-2256.7	-2158.9	-2213.7
1891	-2256.5	-2158.8	-2213.6
1892	-2256.2	-2158.8	-2213.4
1893	-2256.0	-2158.7	-2213.2
1894	-2255.7	-2158.6	-2213.0
1895	-2255.5	-2158.5	-2212.9
1896	-2255.3	-2158.5	-2212.7
1897	-2255.0	-2158.4	-2212.5
1898	-2254.8	-2158.3	-2212.4
1899	-2254.5	-2158.3	-2212.2
1900	-2254.3	-2158.2	-2212.0
1901	-2254.1	-2158.1	-2211.9
1902	-2253.8	-2158.0	-2211.7
1903	-2253.6	-2158.0	-2211.5
1904	-2253.4	-2157.9	-2211.4
1905	-2253.1	-2157.8	-2211.2
1906	-2252.9	-2157.8	-2211.1
1907	-2252.7	-2157.7	-2210.9
1908	-2252.4	-2157.6	-2210.7
1909	-2252.2	-2157.5	-2210.6
1910	-2252.0	-2157.5	-2210.4
1911	-2251.7	-2157.4	-2210.2
1912	-2251.5	-2157.3	-2210.1
1913	-2251.3	-2157.3	-2209.9
1914	-2251.1	-2157.2	-2209.7
1915	-2250.8	-2157.1	-2209.6
1916	-2250.6	-2157.0	-2209.4
1917	-2250.4	-2157.0	-2209.3
1918	-2250.1	-2156.9	-2209.1
1919	-2249.9	-2156.8	-2208.9
1920	-2249.7	-2156.8	-2208.8
1921	-2249.5	-2156.7	-2208.6
1922	-2249.2	-2156.6	-2208.5
1923	-2249.0	-2156.6	-2208.3
1924	-2248.8	-2156.5	-2208.2
1925	-2248.6	-2156.4	-2208.0
1926	-2248.3	-2156.4	-2207.8
1927	-2248.1	-2156.3	-2207.7
1928	-2247.9	-2156.2	-2207.5
1929	-2247.7	-2156.2	-2207.4
1930	-2247.5	-2156.1	-2207.2
1931	-2247.2	-2156.0	-2207.1
1932	-2247.0	-2155.9	-2206.9
1933	-2246.8	-2155.9	-2206.8
1934	-2246.6	-2155.8	-2206.6
1935	-2246.4	-2155.7	-2206.4
1936	-2246.2	-2155.7	-2206.3
1937	-2245.9	-2155.6	-2206.1
1938	-2245.7	-2155.5	-2206.0
1939	-2245.5	-2155.5	-2205.8
1940	-2245.3	-2155.4	-2205.7
1941	-2245.1	-2155.3	-2205.5
1942	-2244.9	-2155.3	-2205.4
1943	-2244.6	-2155.2	-2205.2
1944	-2244.4	-2155.1	-2205.1
1945	-2244.2	-2155.1	-2204.9
1946	-2244.0	-2155.0	-2204.8
1947	-2243.8	-2155.0	-2204.6
1948	-2243.6	-2154.9	-2204.5
1949	-2243.4	-2154.8	-2204.3
1950	-2243.2	-2154.8	-2204.2
1951	-2242.9	-2154.7	-2204.0
1952	-2242.7	-2154.6	-2203.9
1953	-2242.5	-2154.6	-2203.7
1954	-2242.3	-2154.5	-2203.6
1955	-2242.1	-2154.4	-2203.4
1956	-2241.9	-2154.4	-2203.3
1957	-2241.7	-2154.3	-2203.1
1958	-2241.5	-2154.2	-2203.0
1959	-2241.3	-2154.2	-2202.9
1960	-2241.1	-2154.1	-2202.7
1961	-2240.9	-2154.1	-2202.6
1962	-2240.7	-2154.0	-2202.4
1963	-2240.5	-2153.9	-2202.3
1964	-2240.3	-2153.9	-2202.1
1965	-2240.1	-2153.8	-2202.0
1966	-2239.8	-2153.7	-2201.8
1967	-2239.6	-2153.7	-2201.7
1968	-2239.4	-2153.6	-2201.6
1969	-2239.2	-2153.5	-2201.4
1970	-2239.0	-2153.5	-2201.3
1971	-2238.8	-2153.4	-2201.1
1972	-2238.6	-2153.4	-2201.0
1973	-2238.4	-2153.3	-2200.8
1974	-2238.2	-2153.2	-2200.7
1975	-2238.0	-2153.2	-2200.6
1976	-2237.8	-2153.1	-2200.4
1977	-2237.6	-2153.1	-2200.3
1978	-2237.4	-2153.0	-2200.1
1979	-2237.2	-2152.9	-2200.0
1980	-2237.1	-2152.9	-2199.9
1981	-2236.9	-2152.8	-2199.7
1982	-2236.7	-2152.7	-2199.6
1983	-2236.5	-2152.7	-2199.5
1984	-2236.3	-2152.6	-2199.3
1985	-2236.1	-2152.6	-2199.2
1986	-2235.9	-2152.5	-2199.0
1987	-2235.7	-2152.4	-2198.9
1988	-2235.5	-2152.4	-2198.8
1989	-2235.3	-2152.3	-2198.6
1990	-2235.1	-2152.3	-2198.5
1991	-2234.9	-2152.2	-2198.4
1992	-2234.7	-2152.1	-2198.2
1993	-2234.5	-2152.1	-2198.1
1994	-2234.3	-2152.0	-2198.0
1995	-2234.1	-2152.0	-2197.8
1996	-2234.0	-2151.9	-2197.7
1997	-2233.8	-2151.8	-2197.6
1998	-2233.6	-2151.8	-2197.4
1999	-2233.4	-2151.7	-2197.3
2000	-2233.2	-2151.7	-2197.2
